traffic,strategy,avg_response_ms,p95_response_ms,p99_response_ms,sla_violation_pct,avg_pods,total_samples
Periyodik,TimesFM,1803.7692773300496,4772.9534378042335,5083.679139631064,48.96551724137931,2.9034482758620688,145
Periyodik,LightGBM,1769.411218851486,4847.001997460645,5206.940404231579,50.3448275862069,2.9310344827586206,145
Periyodik,Reaktif,3387.184914782001,5049.328844900364,5339.088776852034,97.93103448275862,1.0,145
Burst,TimesFM,1174.947845604779,4270.350690398486,4971.065764734075,42.06896551724138,3.179310344827586,145
Burst,LightGBM,1291.8920511027684,4157.062791865804,4991.447071909175,57.24137931034483,2.6206896551724137,145
Burst,Reaktif,2465.85474587356,4939.712461426143,5101.494625848371,91.0344827586207,1.0,145
OnOff,TimesFM,1736.4497322613895,4990.312203620697,5386.856480669121,44.827586206896555,2.682758620689655,145
OnOff,LightGBM,1205.9994092513743,4833.054103024663,5248.487421184137,29.655172413793103,2.7586206896551726,145
OnOff,Reaktif,2408.8005593137286,5108.835827635323,5416.341958318927,51.724137931034484,1.0,145
